Unnamed: 0,id,sku,short_description,price,list_price,discount,discount_rate,rating_average,review_count,quantity_sold,inventory_status,product_name,brand_id,brand_name
523,222604396,6875172858187,Mô tả sản phẩmLaptop Acer Aspire 3 A315-59-321N - Bạc - 15.6 FHD;I3-1215U; 8GB + 1slot; 256GB SSD +1 M.2+ 1 HDD; Wifi5+BT4.2; Polyc; Win11H; 1Y (NX.K6TSV.009)Thông số kĩ thuậtThương hiệu:...,13200000,13200000,0,0,0.0,0,0,available,Mô tả sản phẩmLaptop Acer Aspire 3 A315-59-321N - Bạc - 15.6 FHD;I3-1215U; 8GB + 1slot; 256GB SSD +1 M.2+ 1 HDD; Wifi5+BT4.2; Polyc; Win11H; 1Y (NX.K6TSV.009)Thông số kĩ thuậtThương hiệu:...,18803,Acer
524,207042577,8594604366588,Thông số kỹ thuật Laptop Dell Inspiron 5420 i5-1235U/8GB/512GB/Win11 I5U085W11SLUĐặc điểm sản phẩmModel:i5u085w11sluMàu sắc:BạcNhà sản xuất:DellXuất xứ:Trung QuốcThời gian bảo hành:12 Thá...,25582800,25582800,0,0,0.0,0,0,available,Thông số kỹ thuật Laptop Dell Inspiron 5420 i5-1235U/8GB/512GB/Win11 I5U085W11SLUĐặc điểm sản phẩmModel:i5u085w11sluMàu sắc:BạcNhà sản xuất:DellXuất xứ:Trung QuốcThời gian bảo hành:12 Thá...,18805,Dell
525,252174435,8463500366817,"ĐẶC ĐIỂM NỔI BẬT16GB Ram onboard - Cân tốt các phần mềm năng, cho phép mở nhiều ứng dụng cùng lúc512GB SSD, 1 khe 2.5 inch HDD trống - Khả năng nâng cấp vượt trộiChip intel Core i5 - 1135G7 xử lý...",16740000,16740000,0,0,0.0,0,0,available,"ĐẶC ĐIỂM NỔI BẬT16GB Ram onboard - Cân tốt các phần mềm năng, cho phép mở nhiều ứng dụng cùng lúc512GB SSD, 1 khe 2.5 inch HDD trống - Khả năng nâng cấp vượt trộiChip intel Core i5 - 1135G7 xử lý...",18604,Lenovo
526,198732215,4803148385346,"Hiệu năng mạnh mẽ, ổn địnhĐược trang bị dòng chip Intel Core i5 Tiger Lake 1135G7 mạnh mẽ, hoạt động trên xung nhịp cơ bản 2.4 GHz và ép xung lên đến 4.2 GHz ở chế độ Turbo Boost, Dell Vostro 3510 dễ ...",17040000,17040000,0,0,0.0,0,0,available,"Hiệu năng mạnh mẽ, ổn địnhĐược trang bị dòng chip Intel Core i5 Tiger Lake 1135G7 mạnh mẽ, hoạt động trên xung nhịp cơ bản 2.4 GHz và ép xung lên đến 4.2 GHz ở chế độ Turbo Boost, Dell Vostro 3510 dễ ...",18805,Dell
527,225210921,9739770857547,"Laptop Dell Vostro 15 3520 5M2TT3Laptop Dell Vostro 15 3520 5M2TT3 là chiếc laptop – máy tính xách tay mang kiểu dáng đặc trưng của phân khúc laptop văn phòng phù hợp cho nhiều đối tượng người dùng, ...",23221000,23221000,0,0,0.0,0,0,available,"Laptop Dell Vostro 15 3520 5M2TT3Laptop Dell Vostro 15 3520 5M2TT3 là chiếc laptop – máy tính xách tay mang kiểu dáng đặc trưng của phân khúc laptop văn phòng phù hợp cho nhiều đối tượng người dùng, ...",18805,Dell
528,225210012,1217620141421,Máy Tính Xách Tay Laptop Dell Vostro 15 3510 7T2YC3 Core i7-1165G7/8GD4/512SSD/15.6FHD/BT/3C41W/ĐEN/W11SL+OFFICE HOME_ST/2GD5_MX350/ProS - Hàng Chính Hãng là một trong những mã laptop văn phòng cấu hì...,23490000,23490000,0,0,0.0,0,0,available,Máy Tính Xách Tay Laptop Dell Vostro 15 3510 7T2YC3 Core i7-1165G7/8GD4/512SSD/15.6FHD/BT/3C41W/ĐEN/W11SL+OFFICE HOME_ST/2GD5_MX350/ProS - Hàng Chính Hãng là một trong những mã laptop văn phòng cấu hì...,18805,Dell
529,205533241,8132587151231,"Laptop Lenovo IdeaPad 5 15ITL05 82FG01HPVN Kiểu dáng mỏng nhẹ, thiết kế lịch lãmLaptop Lenovo IdeaPad 5 15ITL05 82FG01HPVN  sở hữu thiết kế vuông vắn, các góc được bo cong tinh tế, độ hoàn thiện cao...",16740000,16740000,0,0,0.0,0,0,available,"Laptop Lenovo IdeaPad 5 15ITL05 82FG01HPVN Kiểu dáng mỏng nhẹ, thiết kế lịch lãmLaptop Lenovo IdeaPad 5 15ITL05 82FG01HPVN  sở hữu thiết kế vuông vắn, các góc được bo cong tinh tế, độ hoàn thiện cao...",18604,Lenovo
530,190725443,8786212083658,"Sự xuất hiện của con chip Intel Gen 12 đã làm cho laptop HP Pavilion 15 eg2035TX i5 (6K781PA) trở thành một trong những đối thủ đáng gờm ở phân khúc laptop học tập - văn phòng, cùng với đó là vẻ ngoài...",18720000,18720000,0,0,0.0,0,0,available,"Sự xuất hiện của con chip Intel Gen 12 đã làm cho laptop HP Pavilion 15 eg2035TX i5 (6K781PA) trở thành một trong những đối thủ đáng gờm ở phân khúc laptop học tập - văn phòng, cùng với đó là vẻ ngoài...",17825,HP
531,249033052,9409813579896,Sự xuất hiện của con chip Intel Gen 12 đã làm cho Máy Tính Xách Tay Laptop HP Pavilion 15 eg2035TX i5 1235U/8GB/512GB/2GB MX550/Win11 - Hàng Chính Hãng trở thành một trong những đối thủ đáng gờm ở ph...,18720000,18720000,0,0,0.0,0,0,available,Sự xuất hiện của con chip Intel Gen 12 đã làm cho Máy Tính Xách Tay Laptop HP Pavilion 15 eg2035TX i5 1235U/8GB/512GB/2GB MX550/Win11 - Hàng Chính Hãng trở thành một trong những đối thủ đáng gờm ở ph...,17825,HP
532,214863343,1446559128701,"THÔNG TIN SẢN PHẨM   Thông số LG Gram 2022 31A5-D   • CPU Intel Core i3-1220P 1.1GHz up to 4.4GHz 12MB   • RAM 8GB (4x2) LPDDR5 5200MHz (Onboard)   • Ổ cứng 256GB PCIe NVMe M.2 SSD (2 slot, còn...",22260000,22260000,0,0,0.0,0,0,available,"THÔNG TIN SẢN PHẨM   Thông số LG Gram 2022 31A5-D   • CPU Intel Core i3-1220P 1.1GHz up to 4.4GHz 12MB   • RAM 8GB (4x2) LPDDR5 5200MHz (Onboard)   • Ổ cứng 256GB PCIe NVMe M.2 SSD (2 slot, còn...",18851,LG
533,167383382,2106795009043,"Tổng quan Laptop HP 240 G8Cổng kết nối đa dạngChiếc máy tính xách tay này có thể kết nối ngay với tất cả các thiết bị ngoại vi của bạn, đồng thời được thiết kế để đáp ứng mọi nhu cầu công việc với cổ...",11040000,11040000,0,0,0.0,0,0,available,"Tổng quan Laptop HP 240 G8Cổng kết nối đa dạngChiếc máy tính xách tay này có thể kết nối ngay với tất cả các thiết bị ngoại vi của bạn, đồng thời được thiết kế để đáp ứng mọi nhu cầu công việc với cổ...",17825,HP
534,225940640,4512215077801,"MANG THEO SỰ MẠNH MẼ DI ĐỘNG TRÊN MỌI HÀNH TRÌNHNối tiếp thành công của những thế hệ LG Gram trước đó, thương hiệu Laptop LG tiếp tục cho ra mắt dòng LG gram 2022 vẫn tập trung vào đặc điểm chính củ...",32640000,32640000,0,0,0.0,0,0,available,"MANG THEO SỰ MẠNH MẼ DI ĐỘNG TRÊN MỌI HÀNH TRÌNHNối tiếp thành công của những thế hệ LG Gram trước đó, thương hiệu Laptop LG tiếp tục cho ra mắt dòng LG gram 2022 vẫn tập trung vào đặc điểm chính củ...",18851,LG
535,247706572,4414534883367,"Đặc điểm nổi bậtSở hữu thiết kế nhỏ gọn, kiểu dáng thời thượng với màu bạc cuốn hútBộ vi xử lý Intel Core i3-1215U với hiệu năng ổn định, xử lý tốt nhiều tác vụMàn hình FHD 15.6inch đường viền hẹp ...",11040000,11040000,0,0,0.0,0,0,available,"Đặc điểm nổi bậtSở hữu thiết kế nhỏ gọn, kiểu dáng thời thượng với màu bạc cuốn hútBộ vi xử lý Intel Core i3-1215U với hiệu năng ổn định, xử lý tốt nhiều tác vụMàn hình FHD 15.6inch đường viền hẹp ...",18803,Acer
536,252172436,1606962749285,"Laptop HP 15-DW3033dx (405F6UA) (Core i3-1115G4, 8GB Ram, 256GB SSD NVme, 15.6 inch FHD, BT, Win10S, Silver - Hàng Nhập Khẩu - Làm việc siêu tiện và siêu nhanhChứa đựng vi xử lý thế hệ 11 c...",11640000,11640000,0,0,0.0,0,0,available,"Laptop HP 15-DW3033dx (405F6UA) (Core i3-1115G4, 8GB Ram, 256GB SSD NVme, 15.6 inch FHD, BT, Win10S, Silver - Hàng Nhập Khẩu - Làm việc siêu tiện và siêu nhanhChứa đựng vi xử lý thế hệ 11 c...",17825,HP
537,248543177,6337715605039,"Đặc điểm nổi bậtThiết kế thời thượng, năng động với màu gam Bạc sang trọngĐược trang bị bộ vi xử lý Intel Core i5 thế hệ thứ 12 mạnh mẽRAM 8GB đa nhiệm, có thể làm việc với nhiều Tab một lúcỔ cứng...",19320000,19320000,0,0,0.0,0,0,available,"Đặc điểm nổi bậtThiết kế thời thượng, năng động với màu gam Bạc sang trọngĐược trang bị bộ vi xử lý Intel Core i5 thế hệ thứ 12 mạnh mẽRAM 8GB đa nhiệm, có thể làm việc với nhiều Tab một lúcỔ cứng...",17825,HP
